2018-05-04 12:38:17 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / 10) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
2018-05-04 12:38:17 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 1(Integer) 
2018-05-04 12:38:17 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==      Total: 10 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=509, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=508, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=507, title=123, content=432, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=506, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=505, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=504, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=503, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=502, title=123, content=432, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=501, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=500, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 15:21:11 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / ?) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
2018-05-04 15:21:11 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 20(Integer), 2(Integer) 
2018-05-04 15:21:12 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==      Total: 20 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5101, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5100, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5099, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5098, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5097, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5096, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5095, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5094, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5093, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5092, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5091, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5090, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5089, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5088, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5087, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5086, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5085, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5084, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:12 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5083, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
